CERTIFICATIONID,DESCRIPTION,JUSTICE
"152,718",Crime Stoppers,"5,000"
"152,703",Community Resource Coordinator,"5,251"
"152,693",Pinellas Park Police Explorers Post # 912,"3,148"
"152,689","Drug Education Council, Inc - approval letter for expenditure was received from DOJ","10,000"
"152,684",PHARR POLICE ATHLETIC LEAGUE,"40,000"
"152,682",Northern Illinois Red Ribbon community outreach drug awareness program - assist with expenditures drug prevention and wellness fair.,700
"152,682",Rockford 5-0 a  community outreach mentoring program - assist with the purchase of uniforms.,"1,000"
"152,674",Sponsorship 28th National Conference on Preventing Crime in the Black Community,"1,000"
"152,657",Master Studio - Photographs for Community Awareness/Crime Prevention calendar,700
"152,615",Concerns of Police Survivors (COPS),300
"152,615",Seniors Fight Back Against Fraud,437
"152,611",Cook Board of Education-4000 Red Ribbons for drug awareness week,357
"152,611",Cook Board of Education-Advertisement in school program to stay drug free,250
"152,608",Check to Brighthouse Cable for Public Service Announcements done by Sheriff as invoiced.,"8,907"
"152,608",Crime Watch Portal - used by Crime Watch to notify citizens in their respective areas and throughout the County. Paid to vendor based on invoice.,"4,500"
"152,608",ORA-06502: PL/SQL: numeric or value error: character string buffer too small,600
"152,608",ORA-06502: PL/SQL: numeric or value error: character string buffer too small,"3,000"
"152,608",Police Athletic League - purchase was a partial reimbursement for drug awareness books that were used in the summer program for school children. Receipts and cancel checks provided to Sheriff's Office.,"3,000"
"152,556",Drug/Gang Free (Shirt reimbursement) - Sponsorship for Aransas Pass for Youth Summer Camp 2013 T-Shirts,"1,926"
"152,544",Crime Stoppers of El Paso,"7,500"
"152,541",Oakland Park Law Enforcement Explorer Post,"15,847"
"152,539",Drug Awareness and Crime Prevention Education Programs,"3,401"
"152,523",Drug Awareness - Beach Bash,"5,000"
"152,512",Titusville Police Department Community Watch Program,"13,000"
"152,423",National Night Out-Entertainment,"7,590"
"152,423",National Night Out-Equipment rental: tables and chairs,814
"152,423",National Night Out-Food and Refreshments,"2,524"
"152,423",National Night Out/Safe Neighborhood Program-Promotional Items,"2,432"
"152,417",D.A.R.E Program,100
"152,385",Community service crime prevention/drug awareness/education giveaways,"5,345"
"152,384",Boys and Girls Club of Nassau County Foundation,"10,000"
"152,384",Fernandina Beach High School -Grad Bash Alcohol & Drug-Free Program,"2,225"
"152,372",ALL UNIFORM WEAR,980
"152,372",FLORIDA PARTNERS IN CRISIS,"1,000"
"152,361",Drug Education and Awareness Program & Support to Community Organizations,"4,452"
"152,319",Irving Police Athletic League (bags for kids),"1,995"
"152,310",Kicks for Guns,"2,250"
"152,184",Guadalupe County Childrens' Advocacy Center,"5,200"
"152,184",Seguin Independent School District - Drug Testing Program,"5,246"
"152,138",Prevention & treatment giveaways,516
"152,138",Red Ribbon,"4,641"
"152,138",Super Star Kids,803
"152,049",BSA PINE BURR COUNCIL  -  GAUTIER EXPLORER TROOP REGISTRATION,220
"152,046",MADISON COUNTY ANTI- DRUG COALITION BACK TO SCHOOL ANTI DRUG PROGRAM PAPER FOR SCHOOL BAGS,"1,000"
"152,041",Metrocrest Chamber of Commerce-Red Ribbon Week,700
"152,003",National Law Enforcement Museum,"1,000"
"151,995",The Miami Coalition (Drug Prevention Program),"30,000"
"151,976","M.A.G.I.C. (Mentoring,Advising,Guiding,Instructing,Children) Program","26,640"
"151,955",Domestic Violence Coalition Fundraiser,100
"151,955",PAL bus ride,450
"151,840",Favor House of Northwest FL - Computer purchase reimbursement,"1,400"
"151,840",Santa Rosa Kids House - Computer purchase reimbursement,"1,895"
"151,806",Arlington County Treasurer (trophies for 6/30/2013 soccer event),195
"151,806",ForTec Medical Inc. (tattoo removal),"2,642"
"151,782",Child Advocacy Center,"2,152"
"151,782",Protect Our Children Conference,"5,000"
"151,702",All Sports Association (Anti-Drug Speaker),"12,500"
"151,577","WORKED WITH LOCAL HIGHSCHOOL ANTIDRUG, ANTI TEXT AND DRIVE AND ANTI BULLYING PROGRAM",257
"151,473",Drug prevention education at National Night Out event,163
"151,305",Teens Taking Action Program (Troy Community Coalition - Anti-drug education),"5,227"
"151,086",Tony Humphries,175
"151,046","Anaheim P.D. ""Cops for Kids&quot; Program; Youth Leadership Academy for program Leaders / Tuition (Registration)","4,185"
"151,035",FACTS Coalition - Scituate High School Alcohol Education,960
"150,934","DARE Supplies $8,917.20, Bike Patrol $8,535.57","17,453"
"150,803",South San Francisco Unified School District: transportation costs for student speech team competitions.,"1,500"
"150,738",Substance Abuse Task Force in Rural Appalachia (S.A.T.I.R.A.) - Drug Prevention awareness; advertisements/billboards; handouts/materials; guest speakers; training; SATIRA coordinator salary,"53,106"
"150,719",Seward County Diversion Drug Accountability Program,"19,957"
"150,695",Operation Gang Together,"55,664"
"150,693",Police Reserve Program,"12,468"
"150,451",Community Survey (Printing and Postage) - COP Program,725
"150,402",Coloring books/badge sticker,565
"150,384",Big Brothers and Sisters of San Diego- support for mentor program including at risk-youth.,"25,000"
"150,384",Dreams of Change- Equipment to address safety issues related to  vicitmization of the homeless during high risk time periods.,533
"150,384","McAlister Institute- Support of three adolescent detox programs.These group homes aim to combat drug abuse, prevent crime, divert gang activity, and offer positive intervention programs to adolescents between the ages of 12 and 17.","5,000"
"150,384","National Family Justice Center- Support camp for youth impacted by domestic violence, neglect or sexual abuse, including law enforcement professionals and prosecutors from nine District Attorney's Offices in California, Idaho, and Utah to  provide crime prevention and educational activities.","11,908"
"150,384",Rolling Readers- provided educational materials to at risk youth in Southeast San Diego to address the impacts of education and literacy on crime prevention efforts.,"1,752"
"150,384",Rotary Club of Southeast San Diego- provided educational materials to at risk youth in Southeast San Diego community  to address the impacts of education and literacy on crime prevention efforts.,"3,000"
"150,384",San Diego Justice Foundation- expenses related to holding the Passport to Life Career & Education Expo event to provide youth on probation ages 14-24 with resources to prepare for higher education and career readiness.,"3,495"
"150,372",Red Ribbon Drug Awareness Education materials for students at various high schools,"1,874"
"150,345",Do the Right Thing,"5,000"
"150,312",Citizens Academy and COPS Program,"3,466"
"150,284",4 SEASONS INC,172
"150,284",IMPRINT EXPRESS INC,"1,675"
"150,284",NATICK AWARDS,90
"150,284",ROBERTS COMPANY,63
"150,282",Drug Endangered Children Program,"79,410"
"150,281",BOLIVAR DARE PROGRAM,"2,800"
"150,209",SYMBOL ARTS- USE FOR DRUG CLASSES,875
"150,205",A Horse's Friend,"3,000"
"150,205",Center for Youth Services (Teen Court),"7,500"
"150,205",Changing the Community,"5,000"
"150,205",Community Place of Greater Rochester (Step Jam),"5,000"
"150,205",Crime Stoppers,"10,000"
"150,205",Jefferson Ave Business Association (National Night Out SW),901
"150,205",Lifespan (Interpreters for the Deaf Citizens Police Academy),"4,785"
"150,205",Police Activities League,"3,671"
"150,205",Pop Warner Football Teams (5 teams),"8,280"
"150,204",YMCA,"7,500"
"150,190",Community Relations Unit - DREAMS and Every 15 Minutes programs,"8,800"
"150,184",Santa Ana Police Activities and Athletic League (PAAL) Youth Program,"20,938"
"150,182",Community Outreach,"2,100"
"150,179",Iowa City Area CrimeStoppers. (Purchase of CrimeStoppers Program promotional shirts.,693
"150,165",Community Youth Basketball Camp,284
"150,165",DSS Youth Camp,696
"150,163",Drug Awareness Presentations,300
"150,163",Freer Crime Stoppers,"1,000"
"150,124",New Jersey National Guard Family Programs- drug and gang education,"14,112"
"150,069",Montebello Police Explorer Program,"10,000"
"150,060",Community Outreach-Rental and Supplies for booth to distribute crime and drug prevention information,"9,128"
"150,041",Myron Corp,675
"150,041",National Imprint,"1,053"
"150,041",National Info Date,"1,274"
"150,041",National Pen,346
"150,037",Effective Alternative in Reconciliation Services,"22,500"
"150,031",Murrieta Valley Unified School Dist. (D.A.R.E. and Youth Court Programs),"26,425"
"150,025",Sheriff Youth Academy - Hoke County School's Athletic Departments,250
"149,995","Greater New York Councils, Exploring..","12,535"
"149,995",Police Athletic League Inc.,"33,173"
"149,988",Family Day at the Park,"5,626"
"149,963",Police Athletic League,"256,271"
"149,958",Drug Abuse Resistance Education - DARE Program at Massena Central School,"6,138"
"149,958",Neighborhood Watch,"1,013"
"149,943",Downriver Guidance Center Prescription Take Back Container,500
"149,901",Police Activities League,"17,739"
"149,882",Block Watch Groups,"5,474"
"149,882",National Night Out and DARE Program,"9,743"
"149,882",New Jersey Police Explorer Program,"1,770"
"149,868",National Law Enforcement Museum,"15,000"
"149,868","Public Education promotional key chains with message ""Drug Activity, Impaired Drivers, Call #677","10,000"
"149,857",National Law Enforcement Officers Memorial Fund,"1,000"
"149,837",CPAL,"2,434"
"149,837",Police Explorers,"1,858"
"149,837",Red Ribbon Week,"1,600"
"149,824",Nevada Area Council BSA (children anti-drug campaign),"1,200"
"149,807",DRUG EDUCATION AND AWARNESS,"1,485"
"149,804",Family Traditions,"2,438"
"149,804",Sold Out Youth,"7,500"
"149,781",DARE-St. Mary's County Sheriffs Office,"4,500"
"149,776",ONSLOW COUNTY PARTNERSHIP FOR CHILDREN - CHILD ADVOCACY CENTER,"10,000"
"149,768","Police Youth Academy Misc. Expenses (Refreshments, etc.)",820
"149,733",Funding for Juvenile Drug Court Program,"10,000"
"149,733",Funding for equipment for Alternative Sanction Program,"4,561"
"149,728","Police Trading Cards, Assorted banners, stickers, bracelets, other BPD promotional items for National Night Out and Bedford Day.","1,751"
"149,705","Brax, Ltd-Anti-Drug T-Shirts for Leon Brogden Holiday Basketball Tournament","1,000"
"149,705","Brigade Boys and Girls club-supplies for alcohol prevention, gang prevention","1,000"
"149,705",Camp New Life-Van rental to transport at-risk youth to camp (approved byAnne Insley),"1,107"
"149,705","VIP for a VIP, Inc-supplies for teaching dangers of drunk driving  to teens","5,000"
"149,666","Child Advocacy, 2 Wellman Ave, Suite 110, Nashua, NH","10,000"
"149,666","Youth Council, 112 W. Pearl Street, Nashua, NH","10,000"
"149,664",D.A.R.E Essay Winner Prizes (4 Disneyland Tickets and Target school supplies),815
"149,664",D.A.R.E. Luncheon Supplies,125
"149,627","Apple Time Inc ""Drug Free Items&quot;","4,203"
"149,616",Greater Grand Rapids Chamber of Commerce (Silent Observer),"5,000"
"149,553",#533 Do The Right Thing,"5,000"
"149,539",Arthur Powell,"10,000"
"149,539",Youth Against Violence Programs,"18,302"
"149,514",Greater Vallejo Recreation District (Vallejo Police Activities League 15% Fund),"1,232"
"149,514",Thomas Mestmaker Insurance (Vallejo Police Activities League 15% Fund),"5,254"
"149,508","FBINAA (FBI National Academy Associates) Arizona Chapter(Reimbursement for lodging expenses for students)","5,000"
"149,508","Parents of Murdered Children, Inc. (Reimbusement for printing services for items needed for the Parents of Murdered Children National Conference)","5,000"
"149,508","Partnership for a Drug Free America (Reimbursement for technology support for the database)","5,000"
"149,502",Aiea Na Ali'l,"1,422"
"149,502",Friends of Kaiser High School PTSA,"2,000"
"149,502",Hanalani School,"2,000"
"149,502",Hawaiian Mission Academy,822
"149,502",Island Pacific Academy,"1,248"
"149,502",James Campbell High School,809
"149,502",Kaimuki High School,"2,000"
"149,502",Kapolei High School PTSA,"2,000"
"149,502",Le Jardin Academy,788
"149,502",Maryknoll School,"1,120"
"149,502",McKinley High School,"2,000"
"149,502",Mid-Pacific Institute,"2,000"
"149,502",Mililani High School,"2,000"
"149,502",Moanalua High School PTSA,"2,000"
"149,502",National Law Enforcement Officer Memorial Fund,"5,000"
"149,502",Pearl City High School PTSA,"2,000"
"149,502",Punahou School,"1,958"
"149,502",Radford High School,640
"149,502",Sacred Francis School,"2,000"
"149,502",Saint Francis School,"1,175"
"149,502",Saint Louis School,871
"149,502",St. Andrew's Priory School,478
"149,502",The Roosevelt Alumni Foundation (for Roosevelt High School),"2,000"
"149,502",University Laboratory School Booster Club,"2,000"
"149,502",Waianae High School PTA,"3,595"
"149,502",WorldPeacePlan.org (for Farrington High School),980
"149,446",National Law Enforcement Museum DC Building Fund,"1,000"
"149,404",Safety Awareness For Everyone,"31,200"
"149,391",KIND DRUG TEAM MED COLLECTION UNIT-PRESCRIPTION DRUG DROP BOX (PURCHASED BY KIND FOR DICKINSON COUNTY RESIDENTS TO DROP OFF PRESCRIPTION MEDICATION-STORED IN LOBBY OF DICKINSON COUNTY SHERIFFS OFFICE),"1,045"
"149,390",Portsmouth Drug Treatment Court,"5,000"
"149,373",National Law Enforcement Officer's Memorial Fund,"5,000"
"149,331",Annual dues for Chaplains and Crime Prevention Associations,100
"149,300",D.A.R.E.- Police Explorers,"5,542"
"149,239",National night out against crime supplies,498
"149,227",Reimbursement of qualified program expenses per Memorandum of Agreement with San Diego Crime Stoppers,"50,000"
"149,201",DEPARTMENT LOGO COFFEE MUGS FOR HANDOUTS,369
"149,201",FOOD FOR CITIZENS POLICE ACADEMY GRADUATION,358
